Level,People & Identity,Family & Relationships,Body & Health,Feelings & Emotions,Personality & Character Traits,Communication & Language,Thoughts & Mental Processes,Work & Professions,Education & Learning,Art & Creativity,Music & Sound,Literature & Writing,Media & Entertainment,Sports & Recreation,Games & Hobbies,Food & Cooking,Plants & Botany,Animals & Zoology,Nature & Environment,Weather & Climate,Geography & Places,Time & Calendar,Space & Astronomy,Science & Technology,Tools & Equipment,Machines & Devices,Materials & Substances,Clothing & Fashion,Home & Furniture,Buildings & Architecture,Transportation & Vehicles,Travel & Tourism,Money & Finance,Business & Economics,Law & Justice,Government & Politics,Religion & Spirituality,Social Issues & Society,Culture & Traditions,Mathematics & Measurement,Colors & Shapes,Properties & Qualities,Quantity & Amount,Movement & Direction,Cause & Effect,Comparisons & Similarity,Existence & States of Being,Abstract Concepts,Question Words,Verbs – Physical Actions / Motion,Verbs – Mental / Cognitive Actions,Verbs – Communication Actions,Verbs – Creation / Art / Craft,Verbs – Consumption / Interaction,Verbs – Change / Process,Verbs – Auxiliary / Helping Verbs
1,jeg,mor,hode,glad,snill,ord,tanke,lærer,skole,kunst,musikk,bok,film,fotball,sjakk,brød,tre,hund,elv,regn,by,dag,sol,fysikk,hammer,sykkel,vann,skjorte,bord,hus,bil,reise,penger,marked,lov,stat,kirke,fattigdom,jul,tall,rød,stor,tall,opp,årsak,lik,er,rett,hvem,løpe,tenke,si,male,spise,vokse,være
1,du,far,hår,trist,slem,tale,tenke,lege,klasse,maleri,lyd,tekst,TV,håndball,kortspill,smør,busk,katt,innsjø,snø,landsby,natt,måne,kjemi,kniv,bil,tre,bukse,stol,bygning,buss,tur,bank,handel,rett,regjering,moské,rikdom,påske,en,blå,liten,noen,ned,virkning,samme,finnes,plikt,hva,gå,huske,snakke,tegne,drikke,endre,bli
1,han,søster,ansikt,sint,hyggelig,rop,huske,sykepleier,lærer,tegning,sang,lesing,radio,basketball,brettspill,ost,blomst,fugl,hav,sol,tettsted,morgen,stjerne,biologi,øks,tog,metall,kjole,seng,vegg,sykkel,hotell,konto,kjøp,domstol,politiker,tempel,kultur,nyttår,to,gul,høy,mange,venstre,effekt,ulik,tilstede,makt,hvor,hoppe,glemme,skrive,bygge,ta,forandre,ha
1,hun,bror,øye,redd,vennlig,hviske,glemme,kokk,elev,design,tone,skriving,avis,volleyball,puslespill,melk,gress,ku,skog,vind,land,kveld,himmel,matematikk,sag,trikk,plast,hatt,kjøkken,tak,motorsykkel,hostel,sparing,salg,dommer,valg,synagoge,tradisjon,fest,tre,grønn,lav,få,høyre,resultat,mer,lever,autoritet,når,krype,forstå,rope,designe,holde,modnes,gjøre
1,vi,barn,øre,rolig,sterk,bokstav,drøm,servitør,student,skulptur,rytme,forfatter,magasin,løping,lego,egg,plante,gris,dal,tåke,region,time,rom,astronomi,spiker,buss,glass,jakke,sofa,vindu,tog,leilighet,inntekt,produkt,advokat,stemme,bønn,religion,marked,fire,svart,lang,alle,frem,konsekvens,mindre,dør,ære,hvorfor,falle,lære,hviske,skrive,klemme,bryte,skal
1,dere,venn,nese,varm,smart,skrift,mål,bussjåfør,fag,foto,takt,setning,nyheter,jogging,mynter,kjøtt,blad,sau,eng,is,stat,minutt,astronaut,eksperiment,skrue,båt,stein,genser,lenestol,dør,trikk,turist,utgift,tjeneste,politi,offentlig,gud,utdanning,teater,fem,hvit,kort,ingen,tilbake,grunn,høyere,vedvarer,skam,hvordan,gli,drømme,spørre,sy,smake,utvikle,vil
1,de,nabo,munn,kul,lat,språk,plan,bonde,time,grafikk,volum,ordvalg,underholdning,svømming,maling,fisk,rot,geit,sand,hagl,kontinent,sekund,teleskop,laboratorium,lim,skip,leire,t-skjorte,kommode,trapper,båt,ferie,lån,kunde,fengsel,politikk,tro,helse,musikk,seks,farge,bred,hver,inn,følge,lavere,oppstår,lykke,hvilken,snuble,velge,svare,lage,lukte,forbedre,kan
1,mann,morfar,tann,lykkelig,rolig,stemme,idé,frisør,lekse,illustrasjon,tempo,stil,show,sykling,tegning,kylling,stamme,kanin,strand,frost,gate,uke,satellitt,måling,tape,motor,gummi,skjørt,skap,balkong,skip,ferieby,rente,leverandør,lovlig,borgermester,åndelighet,bolig,sang,sju,linje,smal,mer,ut,respons,fortere,forblir,sorg,hvilke,hinke,bestemme,fortelle,forme,føle,reparere,må
1,kvinne,mormor,hals,frykt,kald,muntlig,minne,elektriker,oppgave,mote,instrument,historie,scene,ski,fotografi,svin,frø,rotte,mark,soloppgang,vei,måned,bane,naturvitenskap,pensel,datamaskin,tekstil,sko,hylle,terrasse,ferge,destinasjon,skatt,selskap,ulovlig,parti,prest,sosialt,dans,åtte,punkt,tykk,mindre,rundt,reaksjon,tregere,forsvinner,fred,hvilket,skli,vurdere,lese opp,konstruere,gripe,redusere,bør
1,gutt,farfar,skulder,glede,modig,skriftlig,beslutning,snekker,test,tekstil,gitar,fortelling,teater,skøyter,skriving,laks,løv,mus,jord,solnedgang,sti,år,gravitasjon,teknikk,stige,telefon,bomull,sokker,lampe,kjeller,hjul,transport,faktura,bedrift,kriminalitet,regjeringstiltak,imam,kriminalitet,kultur,ni,form,tynn,mest,langs,handling,bedre,eksisterer,krig,hvem sin,sykle,tro,be,skape,åpne,øke,kunne
