Ord,Setning
Ord,Setning
jeg,Jeg går en tur i dag.
du,Du finner løsningen ganske lett.
han,Han leser boka hver kveld.
hun,Hun lager middag til hele familien.
vi,Vi jobber sammen på prosjektet.
dere,Dere kommer alltid litt for sent.
de,De spiller fotball etter skolen.
mann,Mannen snakker høyt på møtet.
kvinne,Kvinnen skriver et langt brev.
gutt,Gutten løper raskt til bussen.
jente,Jenta synger fint i koret.
barn,Barn leker ute i hagen.
venn,Vennen hjelper meg med flytting.
nabo,Naboen klipper plenen hver søndag.
lærer,Læreren forklarer oppgaven veldig tydelig.
student,Studenten leser hele natten før prøven.
ungdom,Ungdom går ofte på kino sammen.
voksen,Voksne tar ansvar i vanskelige situasjoner.
eldre,Eldre trenger litt ekstra hjelp hjemme.
tenåring,Tenåringen vil helst være alene.
barnunge,Barnungen roper høyt etter oppmerksomhet.
tenåringsgutt,Tenåringsgutten spiller dataspill hver kveld.
tenåringsjente,Tenåringsjenta liker å skrive historier.
sjef,Sjefen tar den endelige avgjørelsen.
venninne,Venninnen besøker meg nesten hver helg.
kamerat,Kameraten min hjelper alltid til.
kone,Kona lager kaffe hver morgen.
ektemann,Ektemannen reparerer bilen i garasjen.
kollega,Kollegaen min støtter ideene mine.
leder,Lederen presenterer planen på møtet.
medarbeider,Min medarbeider hjalp meg med prosjektet.
arbeidstaker,Alle arbeidstakere har rett til ferie.
forsker,Forskeren studerer klimaendringer.
lege,Legen ga meg en resept.
sykepleier,Sykepleieren er veldig omsorgsfull.
politiker,Politikeren holdt en tale i går.
turist,Turisten tok et bilde av fjorden.
innvandrer,Familien er en ny innvandrer i byen.
beboer,Hver beboer må betale husleie.
søskenbarn,Mitt søskenbarn bor i Bergen.
partner,Vi skal diskutere planen med vår partner.
kjæreste,Han skal møte sin kjæreste i kveld.
spiller,Spilleren scoret et flott mål.
atlet,Atleten løp maraton på rekordtid.
idrettsutøver,Hun er en kjent idrettsutøver fra Norge.
deltaker,Det var mange deltakere i konkurransen.
medlem,Han er et aktivt medlem av klubben.
innbygger,Hver innbygger kan stemme ved valget.
gjest,Vi ønsker våre gjester velkommen.
klient,Advokaten snakket med sin klient.
pasient,Pasienten venter på undersøkelse.
kunstner,Kunstneren malte et vakkert portrett.
skuespiller,Skuespilleren vant en pris for rollen.
musiker,Musikeren spilte fiolin på konserten.
forfatter,Forfatteren leste fra sin nye bok.
prest,Presten holdt gudstjeneste i kirken.
prestinne,I gamle dager tjente en prestinne tempelet.
helt,Brannmannen var en helt etter redningsaksjonen.
heltinne,Hun ble hyllet som en heltinne for motet sitt.
filosof,Filosofen skrev om etikk og moral.
lederfigur,Hun er en sterk lederfigur i samfunnet.
diktator,Diktatoren hadde all makt i landet.
mor,Min mor baker det beste brødet.
far,Min far lærte meg å sykle.
søster,Jeg har en eldre søster som studerer.
bror,Min bror spiller fotball hver uke.
barn,Ett barn leker i parken.
venn,Min beste venn flyttet til utlandet.
nabo,Vår nye nabo er veldig hyggelig.
morfar,Morfar min fortalte meg en historie.
mormor,Mormor strikket en genser til meg.
farfar,Farfar pleide å jobbe som fisker.
farmor,Farmor er flink til å lage kaker.
bestemor,Bestemor passer på katten vår i ferien.
bestefar,Bestefar tok oss med på tur i skogen.
datter,Min datter begynner på skolen i høst.
sønn,Vår sønn studerer medisin i Oslo.
tante,Tante min sendte meg et kort i posten.
onkel,Jeg besøker min onkel i helgen.
kusine,Min kusine og jeg er like gamle.
fetter,Fetteren min bor i en annen by.
nevø,Min nevø er veldig glad i å tegne.
niese,Min niese fylte fem år i går.
søskenbarn,Jeg møtte mitt søskenbarn på festen.
kollega,Jeg spiste lunsj med en kollega i dag.
kjæreste,Han ringte sin kjæreste fra jobben.
partner,De to partnere driver firmaet sammen.
ektefelle,Hun reiser til Syden med sin ektefelle.
samboer,Min samboer heter Per.
kjære,Hun skrev et brev til sin kjære venn.
venninne,Jeg skal på kino med en venninne i morgen.
kamerat,Jeg og min kamerat spiller videospill.
svigermor,Jeg skal feire jul hos min svigermor.
svigerfar,Svigerfar min er veldig interessert i bil.
svigersønn,Min svigersønn er en god kokk.
svigerdatter,Deres svigerdatter er fra Sverige.
svigerinne,Han møtte sin svigerinne for første gang.
svoger,Svoger min jobber som lærer.
forlovede,De er forlovede og skal gifte seg neste år.
barnebarn,Besteforeldrene elsker å leke med sitt barnebarn.
oldemor,Min oldemor var født i 1920.
oldefar,Oldefar min bygde dette huset.
adoptivmor,Hennes adoptivmor er veldig snill.
adoptivfar,Han bor sammen med sin adoptivfar.
bonusforelder,Min bonusforelder tar meg med på turer.
familie,Hele familien samles til jul.
slektning,Vi besøkte en fjern slektning i går.
familiemedlem,Alle familiemedlemmer hjalp til med flyttingen.
husstand,Det er fire personer i vår husstand.
omsorgsperson,Omsorgspersonen hjalp den gamle damen.
brud,Bruden hadde en vakker kjole.
brudgom,Brudgommen smilte til gjestene.
forlover,Min beste venn var min forlover.
ektepar,De har vært et lykkelig ektepar i ti år.
verge,Vergen tok seg av barnets økonomi.
mentor,Hun fikk god veiledning av sin mentor.
beskytter,Politiet er byens beskytter.
familiestøtte,Vi får mye familiestøtte i en vanskelig tid.
familieoverhode,Bestefar er familieoverhode i vår slekt.
glad,Jeg er glad for å se deg igjen.
trist,Han ble veldig trist da katten døde.
sint,Hun er sint på grunn av forsinkelsen.
redd,Barnet er redd for mørket.
rolig,Pusten hans var rolig og jevn.
varm,Det er en varm dag i dag.
kul,Den nye jakken hennes er veldig kul.
lykkelig,Paret så lykkelig ut på bildet.
frykt,Han kjente en sterk frykt i mørket.
glede,Deres nye baby brakte stor glede.
sorg,De delte sin dype sorg med venner.
sinne,Sinne er ikke alltid en dårlig ting.
humør,Hennes humør er alltid smittsomt godt.
energi,Han har mye energi etter ferien.
kjærlighet,Kjærlighet er viktigst i livet.
spent,Jeg er spent på resultatet av testen.
stresset,Hun føler seg stresset på grunn av eksamen.
irritert,Jeg ble irritert av den høye lyden.
frustrert,Han er frustrert over dataproblemer.
engstelig,De var engstelige for fremtiden.
nervøs,Nervøs førte han pennen over papiret.
overrasket,Jeg ble overrasket av den uventede gaven.
sjalu,Han følte seg sjalu på sin brors suksess.
misunnelig,Jeg er litt misunnelig på din nye bil.
stolt,Foreldrene er stolte av datteren sin.
skamfull,Han følte seg skamfull etter feilen.
skyldig,Hun følte seg skyldig for å ha glemt det.
trygg,Jeg føler meg trygg når jeg er hjemme.
usikker,Han var usikker på hvilket valg han skulle ta.
håpefull,Jeg er håpefull for en bedre fremtid.
ensom,Noen ganger føler hun seg litt ensom.
takknemlig,Jeg er takknemlig for all hjelpen.
ydmyk,Til tross for suksessen er han ydmyk.
fornøyd,Jeg er fornøyd med resultatet.
optimistisk,Hun er alltid optimistisk og positiv.
pessimistisk,Han er ofte litt pessimistisk når det gjelder vær.
kjærlig,De behandlet hverandre på en kjærlig måte.
avvisende,Hennes holdning var kald og avvisende.
sårbar,Hun turte å være sårbar og ærlig.
nysgjerrig,Barnet er veldig nysgjerrig på verden.
irritasjon,Lyden forårsaket stor irritasjon.
spenthet,Vi kjente en stor spenthet før kampen.
bekymret,Jeg er bekymret for det dårlige været.
begeistret,Han var begeistret for den nye planen.
tristhet,Tristhet preget stemningen i rommet.
sjokkert,Vi ble sjokkert av nyhetene.
deprimert,Hun følte seg deprimert etter tapet.
frydefull,Han ga et frydefull rop da han vant.
euforisk,Etter seieren var hele laget euforisk.
sinneutbrudd,Han fikk et voldsomt sinneutbrudd.
hode,Jeg har vondt i hodet mitt.
hår,"Hun har langt, brunt hår."
ansikt,Han vasket sitt ansikt før han spiste.
øye,Hun har blå øyne.
øre,Han hørte en lyd med sitt øre.
nese,Han tørket nesen med et lommetørkle.
munn,Hun åpnet sin munn for å snakke.
tann,Barnet mistet en tann i dag.
hals,Jeg har litt vondt i halsen.
skulder,Hun bar vesken over sin skulder.
arm,Han brakk armen i en ulykke.
hånd,"Gi meg din hånd, så går vi."
finger,Han pekte med fingeren.
bryst,Han holdt hånden mot sitt bryst.
mage,Jeg har sommerfugler i magen.
rygg,Jeg må strekke ryggen litt.
ben,Han løp så fort hans ben kunne bære ham.
lår,Lårene er de sterkeste musklene i kroppen.
kne,Han falt og skadet sitt kne.
legg,Han trente musklene i leggen.
fot,Jeg har kjøpt nye sko til min fot.
tå,Jeg slo min tå mot bordet.
frisk,Han er helt frisk igjen etter influensaen.
syk,Hun er syk og må bli hjemme.
helse,God helse er viktig for et godt liv.
hud,Solkrem beskytter huden mot solen.
blod,Hun donerte blod til sykehuset.
muskel,Han har sterke muskler i armene.
ledd,Leddene i fingrene verker i kulden.
nerve,Han har en rolig nerve under press.
hjerte,Hjertet pumper blod rundt i kroppen.
lunge,Røyking skader lungene.
lever,Leveren renser blodet vårt.
nyre,Han har problemer med nyrene.
sår,Hun fikk et lite sår på armen.
feber,Barnet hadde høy feber i natt.
smerte,Han tok medisin mot smerte i ryggen.
tretthet,Hun følte en dyp tretthet etter arbeidsdagen.
kvalme,Plutselig kjente hun seg kvalm.
hodepine,Jeg har ofte hodepine når jeg er stresset.
svimmelhet,Svimmelhet er et vanlig symptom.
sykdom,Han ble rammet av en alvorlig sykdom.
forkjølelse,Jeg har en kraftig forkjølelse nå.
pleie,Han trengte god pleie etter operasjonen.
medisin,Du må ta denne medisinen to ganger daglig.
skjelett,Det menneskelige skjelettet består av 206 bein.
influensa,Årets influensa er ekstra hard.
allergi,Han har allergi mot pollen.
behandling,Behandlingen var vellykket.
operasjon,Hun må gjennomgå en operasjon neste uke.
vaksine,Alle barn får en vaksine mot meslinger.
rehabilitering,Han er i rehabilitering etter ulykken.
snill,Hunden er veldig snill mot barna.
slem,Det er slemt å lyve til andre.
hyggelig,Det var hyggelig å treffe deg.
vennlig,Butikkansatte var veldig vennlig.
sterk,Han er sterk nok til å løfte den tunge boksen.
smart,Han kom med et smart forslag.
lat,Vær ikke lat; du må gjøre leksene dine.
rolig,Hun forble rolig under krisen.
kald,Været er kaldt i dag.
modig,Han var modig da han hjalp til.
tøff,Det er en tøff oppgave å fullføre.
hjelpsom,Min hjelpsomme nabo bar varene inn for meg.
omsorgsfull,Omsorgsfull personell jobber på sykehuset.
ærlig,Vær alltid ærlig med meg.
åpen,De hadde en åpen diskusjon om problemene.
nysgjerrig,Barnet var nysgjerrig på den nye leken.
følsom,Hun er en veldig følsom person.
impulsiv,Noen ganger er han litt for impulsiv.
tålmodig,Du må være tålmodig når du venter.
utålmodig,Jeg blir alltid utålmodig i køer.
sjalu,Han er sjalu på søsterens suksess.
misunnelig,Jeg er misunnelig på deres fine hage.
sta,Hun er veldig sta og vil ikke endre mening.
bestemt,Hun var bestemt på å lykkes.
ambisiøs,Han er en ambisiøs ung mann.
arbeidsom,Hun er en svært arbeidsom student.
morsom,Filmen var utrolig morsom.
humoristisk,Han har en herlig humoristisk sans.
klok,Bestefar er en klok mann.
intelligent,Hun er en svært intelligent forsker.
kreativ,Kreativ tenkning er viktig i design.
fantasifull,Han har en svært fantasifull hjerne.
pålitelig,Han er en pålitelig ansatt som alltid kommer i tide.
lojal,Hunden er lojal mot sin eier.
ansvarlig,Hun er ansvarlig for hele prosjektet.
selvsikker,Han virket selvsikker da han presenterte.
sjenert,Hun er litt sjenert i store forsamlinger.
forsiktig,Vær forsiktig når du kjører på isen.
risikovillig,Han er en risikovillig investor.
målrettet,Han jobber målrettet mot sine drømmer.
målbevisst,Vær målbevisst for å nå toppen.
empatisk,En god venn er empatisk og forståelsesfull.
kynisk,Han er ofte litt kynisk til folks motiver.
optimistisk,Jeg er optimistisk med tanke på fremtiden.
pessimistisk,Min bror er alltid litt pessimistisk.
energisk,Barn er ofte veldig energiske om morgenen.
rettferdig,Dommeren må være rettferdig mot alle.
urettferdig,Dette er en urettferdig behandling.
sjenerøs,De var sjenerøse og ga mye penger til veldedighet.
generøs,Han er alltid så generøs med sin tid.
egoistisk,"Ikke vær så egoistisk, del med andre."
ego-sentrert,Den egosentrerte mannen snakket bare om seg selv.
samarbeidsvillig,Det er viktig å være samarbeidsvillig i et team.
konkurranseorientert,Hun er veldig konkurranseorientert og vil vinne.
ord,Han brukte sterke ord for å uttrykke seg.
tale,Han holdt en gripende tale i bryllupet.
rop,Vi hørte et rop fra skogen.
hviske,Hun måtte hviske i biblioteket.
bokstav,Den første bokstaven i navnet mitt er M.
skrift,Han har en pen og tydelig skrift.
språk,Hvilket språk snakker du?
stemme,Hun har en vakker sangstemme.
muntlig,Eksamen var muntlig i år.
skriftlig,Svaret må leveres skriftlig.
lytting,God lytting er viktig for kommunikasjon.
spørsmål,Har du et spørsmål til læreren?
svar,Han ga et klart svar på oppgaven.
setning,Skriv en enkel setning på norsk.
brev,Jeg sendte et brev til min venn i utlandet.
e-post,Jeg sender deg en e-post med detaljer.
melding,Jeg fikk en tekstmelding fra sjefen.
samtale,De hadde en lang samtale om livet.
dialog,Boken inneholder mye morsom dialog.
telefonere,Jeg skal telefonere til legen i morgen.
ringe,Husk å ringe meg når du kommer hjem.
historie,Han fortalte en spennende historie om vikingtiden.
fortelling,Læreren leste en fin fortelling for klassen.
vits,Han fortalte en vits som fikk alle til å le.
instruksjon,Følg instruksjonene nøye for å montere hyllen.
forklaring,Han ga en klar forklaring på problemet.
dialekt,Hun snakker en bred vestlandsdialekt.
aksent,Han har en litt utenlandsk aksent når han snakker.
uttrykk,Dette uttrykket er vanskelig å oversette.
kroppsspråk,Hennes kroppsspråk viste at hun var nervøs.
mimikk,Skuespillerens mimikk var veldig god.
gest,Han gjorde en vennlig gest med hånden.
signal,Vi venter på grønt signal før vi går.
grammatikk,Norsk grammatikk kan være vanskelig.
diskusjon,Vi hadde en lang diskusjon om filmen.
debatt,Det var en heftig debatt i parlamentet.
foredrag,Professoren holdt et interessant foredrag.
presentasjon,Hun forberedte en god presentasjon til møtet.
rapport,Vi må levere en rapport innen fredag.
artikkel,Jeg leste en lang artikkel i avisen i dag.
notat,Jeg skrev et raskt notat for å huske det.
dikt,Hun leste et vakkert dikt om naturen.
definisjon,Gi meg en kort definisjon av ordet.
oversettelse,Oversettelsen fra norsk til engelsk var god.
tolk,Vi trengte en tolk under samtalen.
språkferdighet,Hans språkferdighet i tysk er utmerket.
kommunikasjon,God kommunikasjon er nøkkelen til suksess.
kommunikasjonsevne,Han har en sterk kommunikasjonsevne i teamet.
høytlesning,Høytlesning er bra for barns læring.
argument,Han presenterte sitt beste argument først.
argumentasjon,Argumentasjonen hans var logisk og overbevisende.
retorikk,Retorikk studerer kunsten å tale overbevisende.
formidling,Hennes formidling av kunnskap er utrolig.
kommunikasjonsteknologi,Kommunikasjonsteknologi endrer verden raskt.
taleevne,Han mistet taleevnen etter ulykken.
musikk,Jeg elsker å høre på klassisk musikk.
lyd,Det var en høy lyd fra gaten.
sang,Hun begynte å nynne en gammel sang.
tone,Han endret tonen da han ble sint.
rytme,Danseren hadde en utrolig god rytme.
takt,Du må holde takten i musikken.
volum,"Skru ned volumet, det er for høyt!"
tempo,Øk tempoet når du løper.
instrument,Piano er mitt favorittinstrument.
gitar,Han spiller gitar i et band.
piano,Hun lærte å spille piano som barn.
fiolin,Lyden av fiolin er nydelig.
trommer,Trommene gir en god beat til sangen.
bass,Jeg liker den dype bassen i denne låten.
fløyte,Hun spiller fløyte i korpset.
sangstemme,Han har en kraftig sangstemme.
kor,De synger i et stort kor i kirken.
låt,Dette er min favorittlåt akkurat nå.
vers,Hør på det andre verset i sangen.
refreng,Alle sang med på refrenget.
konsert,Vi skal på konsert i kveld.
plate,Den nye platen kommer ut neste måned.
album,Dette er det beste albumet de har laget.
øvelse,Daglig øvelse gjør mester.
publikum,Publikum klappet høyt etter showet.
applaus,De fikk en stående applaus.
noter,Hun leser noter flytende.
orkester,Han spiller i byens orkester.
komponist,Beethoven var en kjent komponist.
dirigent,Dirigenten ledet orkesteret med energi.
improvisasjon,Jazz er ofte basert på improvisasjon.
musikknotasjon,Musikknotasjon er et universelt språk.
musikkvideo,De lanserte en ny musikkvideo i går.
konsertopptreden,Konsertopptredenen var utsolgt på minutter.
lydopptak,Vi gjorde et profesjonelt lydopptak i studio.
mikrofon,Vokalisten sang inn i mikrofonen.
høyttaler,Lyden kom ut av den store høyttaleren.
øvingsrom,Bandet møtes i øvingsrommet hver tirsdag.
musikkstudio,Albumet ble spilt inn i et musikkstudio.
musikkterapi,Hun bruker musikkterapi for å hjelpe pasienter.
karaoke,Vi sang karaoke på festen.
musikkformidling,Han har en gave for god musikkformidling.
jazz,Jeg foretrekker rolig jazz om kvelden.
klassisk,Hun elsker klassisk musikk fra barokken.
rock,Rock er en populær sjanger blant unge.
pop,Radioen spiller mye pop-musikk.
elektronisk,Han liker elektronisk dansemusikk.
hiphop,Hiphop har røtter i bykulturen.
reggae,Reggae er en avslappende musikkstil.
kunst,Museet har mye moderne kunst.
maleri,Vi kjøpte et vakkert maleri av en lokal kunstner.
tegning,Hun lagde en fin tegning av huset.
design,Det er viktig med godt design i en logo.
skulptur,Den store skulpturen står midt i parken.
foto,Han tok et fantastisk foto av soloppgangen.
grafikk,Hun spesialiserer seg på digital grafikk.
illustrasjon,Boken har mange flotte illustrasjoner.
mote,Mote endrer seg raskt.
tekstil,De lager spennende tekstiler av ull.
keramikk,Hun lager fine gjenstander i keramikk.
skisse,Han gjorde en rask skisse av ideen.
akvarell,Maleren bruker akvarell-teknikk.
olje,Maleren brukte tykk olje-maling.
pastell,Barna elsker å tegne med pastell-kritt.
blyant,Jeg trenger en blyant og et viskelær.
maling,Kjøp rød maling til veggen.
pensel,Du trenger en tynn pensel for detaljer.
lerret,Hun spente lerretet stramt.
form,Sjekk formen på denne gjenstanden.
farge,Blått er min favorittfarge.
linje,Trekk en rett linje på papiret.
